Month,DayOfWeek,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,ArrDelay,DepDelay,Dest,Distance,Cancelled,CancellationCode,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
January,Friday,1145,,1310,WN,,,MCI,405,True,Carrier,,,,,
January,Friday,730,,830,WN,,,STL,251,True,Carrier,,,,,
January,Friday,1555,,1700,WN,,,STL,251,True,Carrier,,,,,
January,Friday,1035,,1140,WN,,,BUR,325,True,Carrier,,,,,
January,Friday,1220,,1325,WN,,,BUR,325,True,Weather,,,,,
January,Friday,855,,1000,WN,,,BUR,325,True,Carrier,,,,,
January,Friday,1200,,1315,WN,,,LAX,337,True,Carrier,,,,,
January,Friday,730,,845,WN,,,LAX,337,True,Carrier,,,,,
January,Friday,800,,925,WN,,,SAN,446,True,Carrier,,,,,
January,Friday,1045,,1205,WN,,,SNA,371,True,Carrier,,,,,
January,Friday,1120,,1330,WN,,,PHX,325,True,Carrier,,,,,
January,Friday,2010,,2130,WN,,,SMF,389,True,Carrier,,,,,
January,Friday,855,,1015,WN,,,SMF,389,True,Weather,,,,,
January,Friday,1315,,1430,WN,,,PIT,267,True,Carrier,,,,,
January,Friday,1415,,1520,WN,,,PVD,238,True,Carrier,,,,,
January,Friday,720,,745,WN,,,BUR,369,True,Carrier,,,,,
January,Friday,1440,,1500,WN,,,LAX,370,True,Carrier,,,,,
January,Friday,1025,,1135,WN,,,SMF,647,True,Weather,,,,,
January,Friday,1055,,1205,WN,,,PHL,267,True,Carrier,,,,,
January,Friday,1540,,1710,WN,,,PHL,238,True,Carrier,,,,,
January,Friday,1815,,2020,WN,,,BOI,335,True,Weather,,,,,
January,Friday,1910,,2020,WN,,,LAS,345,True,Weather,,,,,
January,Friday,1725,,1835,WN,,,LAS,345,True,Weather,,,,,
January,Friday,1940,,2050,WN,,,LAS,345,True,Weather,,,,,
January,Friday,1855,,2020,WN,,,LAX,390,True,Weather,,,,,
January,Friday,1805,,1900,WN,,,OAK,180,True,Weather,,,,,
January,Friday,1955,,2125,WN,,,PDX,444,True,Weather,,,,,
January,Friday,1600,,1750,WN,,,SAN,488,True,Weather,,,,,
January,Friday,2035,,2135,WN,,,SJC,188,True,Weather,,,,,
January,Friday,845,,1015,WN,,,OAK,446,True,Carrier,,,,,
January,Friday,915,,1050,WN,,,SMF,480,True,Weather,,,,,
January,Friday,900,,955,WN,,,DAL,248,True,Carrier,,,,,
January,Friday,1110,,1240,WN,,,LAS,414,True,Weather,,,,,
January,Friday,2105,,2235,WN,,,LAS,414,True,National Air System,,,,,
January,Friday,1050,,1220,WN,,,LAX,337,True,Weather,,,,,
January,Friday,1235,,1405,WN,,,LAX,337,True,Carrier,,,,,
January,Friday,710,,840,WN,,,LAX,337,True,Weather,,,,,
January,Friday,1710,,1820,WN,,,LAX,308,True,Carrier,,,,,
January,Friday,1835,,1945,WN,,,ONT,333,True,Carrier,,,,,
January,Friday,1645,,1740,WN,,,RNO,188,True,Weather,,,,,
January,Friday,1045,,1155,WN,,,BUR,358,True,Weather,,,,,
January,Friday,840,,1000,WN,,,LAS,397,True,Weather,,,,,
January,Friday,940,,1100,WN,,,LAX,373,True,Weather,,,,,
January,Friday,825,,940,WN,,,ONT,389,True,Weather,,,,,
January,Friday,945,,1100,WN,,,ONT,389,True,Carrier,,,,,
January,Friday,1105,,1220,WN,,,ONT,389,True,Weather,,,,,
January,Friday,715,,830,WN,,,ONT,389,True,Weather,,,,,
January,Friday,900,,1030,WN,,,PDX,479,True,Weather,,,,,
January,Friday,610,,900,WN,,,PHX,647,True,Weather,,,,,
January,Friday,835,,1125,WN,,,PHX,647,True,Weather,,,,,
January,Friday,1000,,1250,WN,,,PHX,647,True,Carrier,,,,,
January,Friday,835,,1000,WN,,,SAN,480,True,Weather,,,,,
January,Friday,735,,900,WN,,,SAN,480,True,Weather,,,,,
January,Friday,850,,1015,WN,,,SNA,404,True,Carrier,,,,,
January,Friday,1040,,1155,WN,,,SJC,342,True,Carrier,,,,,
January,Friday,1230,,1345,WN,,,SJC,342,True,Carrier,,,,,
January,Friday,745,,915,WN,,,SMF,404,True,Weather,,,,,
January,Friday,1805,,1905,WN,,,MDW,251,True,Carrier,,,,,
January,Friday,810,,910,WN,,,MDW,251,True,Carrier,,,,,
January,Saturday,1355,,1505,WN,,,OAK,325,True,Carrier,,,,,
January,Saturday,1720,,1835,WN,,,OAK,325,True,Carrier,,,,,
January,Saturday,945,,1210,WN,,,PHX,369,True,Carrier,,,,,
January,Saturday,840,,940,WN,,,SAT,248,True,Weather,,,,,
January,Saturday,840,,930,WN,,,SAT,192,True,Weather,,,,,
January,Saturday,1255,,1415,WN,,,RNO,345,True,Weather,,,,,
January,Saturday,1630,,1745,WN,,,OAK,337,True,Carrier,,,,,
January,Saturday,1725,,1940,WN,,,PHX,370,True,Carrier,,,,,
January,Saturday,1050,,1210,WN,,,SFO,337,True,National Air System,,,,,
January,Saturday,1455,,1600,WN,,,SJC,308,True,Carrier,,,,,
January,Saturday,1910,,2025,WN,,,SMF,373,True,Carrier,,,,,
January,Saturday,1615,,1720,WN,,,BUR,325,True,Carrier,,,,,
January,Saturday,1750,,1855,WN,,,BUR,325,True,Carrier,,,,,
January,Saturday,1730,,1845,WN,,,LAX,337,True,Carrier,,,,,
January,Saturday,1245,,1400,WN,,,ONT,361,True,Carrier,,,,,
January,Saturday,1620,,1710,WN,,,RNO,180,True,Weather,,,,,
January,Saturday,1255,,1345,WN,,,RNO,180,True,Weather,,,,,
January,Saturday,1440,,1650,WN,,,PHX,325,True,Carrier,,,,,
January,Saturday,1610,,1630,WN,,,LAX,370,True,Carrier,,,,,
January,Saturday,1645,,1700,WN,,,LAX,370,True,Carrier,,,,,
January,Saturday,1410,,1615,WN,,,BOI,335,True,Weather,,,,,
January,Saturday,1545,,1655,WN,,,LAS,345,True,Weather,,,,,
January,Saturday,1445,,1555,WN,,,LAS,345,True,Weather,,,,,
January,Saturday,1210,,1305,WN,,,OAK,180,True,Weather,,,,,
January,Saturday,1545,,1715,WN,,,PDX,444,True,Weather,,,,,
January,Saturday,1600,,1750,WN,,,SAN,488,True,Weather,,,,,
January,Saturday,1530,,1720,WN,,,SEA,564,True,Weather,,,,,
January,Saturday,1710,,1810,WN,,,SJC,188,True,Weather,,,,,
January,Saturday,1425,,1605,WN,,,SFO,447,True,Carrier,,,,,
January,Saturday,1010,,1105,WN,,,DAL,248,True,Weather,,,,,
January,Saturday,1000,,1045,WN,,,HOU,192,True,Weather,,,,,
January,Saturday,1235,,1405,WN,,,LAX,337,True,National Air System,,,,,
January,Saturday,1415,,1545,WN,,,SAN,447,True,Carrier,,,,,
January,Saturday,1325,,1435,WN,,,LAX,308,True,Carrier,,,,,
January,Saturday,910,,1020,WN,,,BUR,358,True,Carrier,,,,,
January,Sunday,1115,,1150,WN,,,LAS,487,True,Carrier,,,,,
January,Sunday,1650,,1805,WN,,,OAK,325,True,Carrier,,,,,
January,Sunday,945,,1210,WN,,,PHX,369,True,Carrier,,,,,
January,Sunday,930,,1030,WN,,,HOU,239,True,Carrier,,,,,
January,Sunday,1320,,1530,WN,,,PHX,256,True,Carrier,,,,,
January,Sunday,1545,,1750,WN,,,PHX,256,True,Carrier,,,,,
January,Sunday,2040,,2240,WN,,,PHX,256,True,Carrier,,,,,
January,Sunday,700,,820,WN,,,SJC,386,True,Carrier,,,,,
January,Sunday,630,,1140,WN,,,MCI,1363,True,Carrier,,,,,
January,Sunday,725,,900,WN,,,DAL,461,True,Carrier,,,,,
January,Sunday,1555,,1700,WN,,,STL,251,True,Carrier,,,,,
January,Sunday,730,,845,WN,,,LAX,337,True,Carrier,,,,,
January,Sunday,1830,,1945,WN,,,LAX,337,True,Carrier,,,,,
January,Sunday,1430,,1550,WN,,,MDW,423,True,Carrier,,,,,
January,Sunday,950,,1050,WN,,,ABQ,328,True,Carrier,,,,,
January,Sunday,830,,840,WN,,,LAS,256,True,Carrier,,,,,
January,Sunday,2000,,2005,WN,,,LAS,256,True,Carrier,,,,,
January,Sunday,1240,,1245,WN,,,LAS,256,True,Carrier,,,,,
January,Sunday,835,,935,WN,,,BUR,296,True,Carrier,,,,,
January,Sunday,1805,,1905,WN,,,MDW,251,True,Carrier,,,,,
January,Monday,730,,905,WN,,,OAK,889,True,Carrier,,,,,
January,Monday,2105,,2230,WN,,,MDW,395,True,Carrier,,,,,
January,Monday,1650,,1805,WN,,,OAK,325,True,Carrier,,,,,
January,Monday,1345,,1605,WN,,,PHX,369,True,Carrier,,,,,
January,Monday,1940,,2055,WN,,,SMF,358,True,Carrier,,,,,
January,Monday,1040,,1155,WN,,,SMF,358,True,Carrier,,,,,
January,Monday,2055,,2110,WN,,,MDW,307,True,Weather,,,,,
January,Monday,2000,,2110,WN,,,BWI,336,True,Carrier,,,,,
January,Monday,1400,,1500,WN,,,HOU,239,True,Carrier,,,,,
January,Monday,1230,,1325,WN,,,DAL,239,True,Carrier,,,,,
January,Monday,1505,,1600,WN,,,SAT,192,True,Carrier,,,,,
January,Monday,645,,1210,WN,,,MDW,1521,True,Carrier,,,,,
January,Monday,1700,,2230,WN,,,MDW,1521,True,Carrier,,,,,
January,Monday,1845,,5,WN,,,MDW,1521,True,Carrier,,,,,
January,Monday,1205,,1415,WN,,,PHX,256,True,National Air System,,,,,
January,Monday,905,,1025,WN,,,SFO,337,True,National Air System,,,,,
January,Monday,1455,,1600,WN,,,SJC,308,True,Carrier,,,,,
January,Monday,1330,,1450,WN,,,MDW,405,True,Carrier,,,,,
January,Monday,1925,,2045,WN,,,BNA,395,True,Carrier,,,,,
January,Monday,1825,,2035,WN,,,CLE,307,True,Weather,,,,,
January,Monday,2000,,2205,WN,,,CMH,284,True,Weather,,,,,
January,Monday,2005,,2205,WN,,,LAS,1521,True,Carrier,,,,,
January,Monday,615,,815,WN,,,LAS,1521,True,Carrier,,,,,
January,Monday,1500,,1700,WN,,,LAS,1521,True,Carrier,,,,,
January,Monday,1145,,1310,WN,,,MCI,405,True,Carrier,,,,,
January,Monday,1755,,1900,WN,,,STL,251,True,Weather,,,,,
January,Monday,1555,,1700,WN,,,STL,251,True,Carrier,,,,,
January,Monday,930,,1035,WN,,,BUR,325,True,Carrier,,,,,
January,Monday,1520,,1625,WN,,,BUR,325,True,Carrier,,,,,
January,Monday,1250,,1410,WN,,,SAN,446,True,National Air System,,,,,
January,Monday,1430,,1550,WN,,,SAN,446,True,Carrier,,,,,
January,Monday,1250,,1405,WN,,,OAK,361,True,Carrier,,,,,
January,Monday,1400,,1610,WN,,,PHX,325,True,Carrier,,,,,
January,Monday,1035,,1330,WN,,,MCO,861,True,Carrier,,,,,
January,Monday,1505,,1630,WN,,,MDW,668,True,Carrier,,,,,
January,Monday,1415,,1520,WN,,,PVD,238,True,Carrier,,,,,
January,Monday,1630,,1730,WN,,,ABQ,328,True,Carrier,,,,,
January,Monday,1505,,1505,WN,,,LAS,256,True,National Air System,,,,,
January,Monday,1325,,1335,WN,,,ONT,325,True,Carrier,,,,,
January,Monday,845,,855,WN,,,SAN,304,True,Carrier,,,,,
January,Monday,1540,,1710,WN,,,PHL,238,True,Carrier,,,,,
January,Monday,1200,,1330,WN,,,OAK,446,True,National Air System,,,,,
January,Monday,1620,,1750,WN,,,SMF,480,True,Carrier,,,,,
January,Monday,915,,1050,WN,,,SMF,480,True,Carrier,,,,,
January,Monday,1620,,1710,WN,,,HOU,192,True,Carrier,,,,,
January,Monday,1050,,1220,WN,,,LAX,337,True,National Air System,,,,,
January,Monday,925,,1040,WN,,,SNA,342,True,Carrier,,,,,
January,Monday,1810,,1920,WN,,,BUR,358,True,Carrier,,,,,
January,Monday,1225,,1335,WN,,,BUR,358,True,Carrier,,,,,
January,Monday,1310,,1430,WN,,,LAX,373,True,Carrier,,,,,
January,Monday,1105,,1220,WN,,,ONT,389,True,Carrier,,,,,
January,Monday,1940,,2225,WN,,,PHX,647,True,Carrier,,,,,
January,Monday,1105,,1225,WN,,,OAK,371,True,Carrier,,,,,
January,Monday,1805,,1905,WN,,,MDW,251,True,Carrier,,,,,
January,Monday,740,,1010,WN,,,PHL,920,True,Carrier,,,,,
January,Tuesday,1645,,1800,WN,,,DEN,349,True,Carrier,,,,,
January,Tuesday,1615,,1720,WN,,,DAL,324,True,Carrier,,,,,
January,Tuesday,1025,,1245,WN,,,PHX,369,True,Carrier,,,,,
January,Tuesday,655,,935,WN,,,HOU,1246,True,Carrier,,,,,
January,Tuesday,1230,,1330,WN,,,HOU,239,True,Carrier,,,,,
January,Tuesday,1400,,1500,WN,,,HOU,239,True,Carrier,,,,,
January,Tuesday,2030,,2130,WN,,,HOU,239,True,Carrier,,,,,
January,Tuesday,1825,,2020,WN,,,PHX,602,True,Carrier,,,,,
January,Tuesday,1300,,1355,WN,,,DAL,239,True,Carrier,,,,,
January,Tuesday,1430,,1525,WN,,,DAL,239,True,Carrier,,,,,
January,Tuesday,2015,,2245,WN,,,MDW,937,True,Carrier,,,,,
January,Tuesday,1505,,1600,WN,,,SAT,192,True,Carrier,,,,,
January,Tuesday,700,,900,WN,,,MDW,666,True,Carrier,,,,,
January,Tuesday,1205,,1415,WN,,,PHX,256,True,Carrier,,,,,
January,Tuesday,1415,,1620,WN,,,PHX,256,True,Carrier,,,,,
January,Tuesday,1330,,1435,WN,,,SAN,258,True,Weather,,,,,
January,Tuesday,1625,,2215,WN,,,MDW,1750,True,Carrier,,,,,
January,Tuesday,1730,,1845,WN,,,OAK,337,True,Carrier,,,,,
January,Tuesday,1805,,1930,WN,,,SFO,337,True,National Air System,,,,,
January,Tuesday,1050,,1210,WN,,,SFO,337,True,National Air System,,,,,
January,Tuesday,1245,,1405,WN,,,SFO,337,True,National Air System,,,,,
January,Tuesday,715,,835,WN,,,MDW,405,True,Carrier,,,,,
January,Tuesday,1330,,1450,WN,,,MDW,405,True,Carrier,,,,,
January,Tuesday,1500,,1700,WN,,,LAS,1521,True,Carrier,,,,,
January,Tuesday,1500,,1730,WN,,,LAX,1750,True,Carrier,,,,,
January,Tuesday,845,,1010,WN,,,MCI,405,True,Carrier,,,,,
January,Tuesday,1145,,1310,WN,,,MCI,405,True,Carrier,,,,,
January,Tuesday,600,,855,WN,,,PHL,668,True,Carrier,,,,,
January,Tuesday,935,,1230,WN,,,PHL,668,True,Carrier,,,,,
January,Tuesday,1555,,1700,WN,,,STL,251,True,Carrier,,,,,
January,Tuesday,1110,,1215,WN,,,STL,251,True,Carrier,,,,,
January,Tuesday,1010,,1135,WN,,,LAS,407,True,Carrier,,,,,
January,Tuesday,1630,,1755,WN,,,LAS,407,True,Weather,,,,,
January,Tuesday,1855,,2020,WN,,,SAN,446,True,Carrier,,,,,
January,Tuesday,825,,945,WN,,,OAK,361,True,Carrier,,,,,
January,Tuesday,1255,,1410,WN,,,MDW,668,True,Carrier,,,,,
January,Tuesday,1955,,2100,WN,,,ABQ,328,True,Carrier,,,,,
January,Tuesday,935,,1005,WN,,,BUR,369,True,Carrier,,,,,
January,Tuesday,1645,,1700,WN,,,LAX,370,True,Carrier,,,,,
January,Tuesday,600,,1015,WN,,,MDW,1444,True,Carrier,,,,,
January,Tuesday,750,,805,WN,,,ONT,325,True,Carrier,,,,,
January,Tuesday,800,,810,WN,,,SAN,304,True,Carrier,,,,,
January,Tuesday,1505,,1630,WN,,,OAK,446,True,Weather,,,,,
January,Tuesday,1235,,1445,WN,,,PHX,304,True,Carrier,,,,,
January,Tuesday,835,,1015,WN,,,SFO,447,True,Carrier,,,,,
January,Tuesday,2045,,2220,WN,,,SMF,480,True,Carrier,,,,,
January,Tuesday,1620,,1710,WN,,,HOU,192,True,Carrier,,,,,
January,Tuesday,1235,,1405,WN,,,LAX,337,True,National Air System,,,,,
January,Tuesday,1955,,2120,WN,,,LAX,337,True,National Air System,,,,,
January,Tuesday,1430,,1555,WN,,,LAX,337,True,National Air System,,,,,
January,Tuesday,1040,,1210,WN,,,SAN,447,True,Carrier,,,,,
January,Tuesday,1805,,1905,WN,,,MDW,251,True,Carrier,,,,,
January,Tuesday,1235,,1335,WN,,,MDW,251,True,Carrier,,,,,
January,Wednesday,1830,,1925,WN,,,DAL,189,True,Carrier,,,,,
January,Wednesday,1515,,1625,WN,,,BWI,283,True,Carrier,,,,,
January,Wednesday,1245,,1520,WN,,,BWI,588,True,Carrier,,,,,
January,Wednesday,1335,,1545,WN,,,HOU,670,True,Carrier,,,,,
January,Wednesday,630,,740,WN,,,BWI,281,True,Carrier,,,,,
January,Wednesday,720,,1010,WN,,,MCO,1011,True,Carrier,,,,,
January,Wednesday,1225,,1335,WN,,,OAK,325,True,Carrier,,,,,
January,Wednesday,925,,1040,WN,,,SMF,358,True,Carrier,,,,,
January,Wednesday,1125,,1225,WN,,,BNA,588,True,Carrier,,,,,
January,Wednesday,1120,,1300,WN,,,DTW,408,True,Carrier,,,,,
January,Wednesday,700,,925,WN,,,MCO,787,True,Carrier,,,,,
January,Wednesday,1420,,1645,WN,,,MCO,787,True,Carrier,,,,,
January,Wednesday,650,,920,WN,,,TPA,842,True,Carrier,,,,,
January,Wednesday,1720,,1810,WN,,,AUS,189,True,Carrier,,,,,
January,Wednesday,1100,,1200,WN,,,HOU,239,True,Carrier,,,,,
January,Wednesday,1200,,1300,WN,,,HOU,239,True,Carrier,,,,,
January,Wednesday,615,,710,WN,,,HOU,239,True,Carrier,,,,,
January,Wednesday,1400,,1525,WN,,,BWI,408,True,Carrier,,,,,
January,Wednesday,1605,,1845,WN,,,MCO,957,True,Carrier,,,,,
January,Wednesday,1030,,1125,WN,,,DAL,239,True,Carrier,,,,,
January,Wednesday,1330,,1425,WN,,,DAL,239,True,Carrier,,,,,
January,Wednesday,1500,,1555,WN,,,DAL,239,True,Carrier,,,,,
January,Wednesday,1220,,1320,WN,,,HRL,276,True,Carrier,,,,,
January,Wednesday,1925,,2025,WN,,,HRL,276,True,Carrier,,,,,
January,Wednesday,735,,835,WN,,,HRL,276,True,Carrier,,,,,
January,Wednesday,825,,925,WN,,,MSY,303,True,Carrier,,,,,
January,Wednesday,1245,,1340,WN,,,SAT,192,True,Carrier,,,,,
January,Wednesday,840,,930,WN,,,SAT,192,True,Carrier,,,,,
January,Wednesday,900,,1000,WN,,,HOU,276,True,Carrier,,,,,
January,Wednesday,1340,,1440,WN,,,HOU,276,True,Carrier,,,,,
January,Wednesday,2045,,2140,WN,,,HOU,276,True,Carrier,,,,,
January,Wednesday,1300,,1550,WN,,,MCO,972,True,Carrier,,,,,
January,Wednesday,1050,,1620,WN,,,MDW,1521,True,Carrier,,,,,
January,Wednesday,1730,,1845,WN,,,OAK,337,True,Carrier,,,,,
January,Wednesday,1335,,1550,WN,,,PHX,370,True,Carrier,,,,,
January,Wednesday,905,,1025,WN,,,SFO,337,True,National Air System,,,,,
January,Wednesday,1245,,1405,WN,,,SFO,337,True,National Air System,,,,,
January,Wednesday,1525,,1630,WN,,,SJC,308,True,Carrier,,,,,
January,Wednesday,910,,1015,WN,,,SJC,308,True,Carrier,,,,,
January,Wednesday,1030,,1305,WN,,,BDL,1050,True,Carrier,,,,,
January,Wednesday,1710,,1920,WN,,,BWI,787,True,Carrier,,,,,
January,Wednesday,1025,,1230,WN,,,BWI,787,True,Carrier,,,,,
January,Wednesday,1625,,1905,WN,,,DTW,957,True,Carrier,,,,,
January,Wednesday,1100,,1330,WN,,,ISP,972,True,Carrier,,,,,
January,Wednesday,920,,1145,WN,,,PHL,861,True,Carrier,,,,,
January,Wednesday,1430,,1630,WN,,,LAS,1521,True,Carrier,,,,,
January,Wednesday,600,,855,WN,,,PHL,668,True,Carrier,,,,,
January,Wednesday,1625,,2000,WN,,,TPA,997,True,Carrier,,,,,
January,Wednesday,945,,1055,WN,,,HOU,303,True,Carrier,,,,,
January,Wednesday,1910,,2235,WN,,,DEN,957,True,Carrier,,,,,
January,Wednesday,1400,,1515,WN,,,LAX,337,True,Carrier,,,,,
January,Wednesday,1855,,2020,WN,,,SAN,446,True,Carrier,,,,,
January,Wednesday,1040,,1205,WN,,,SAN,446,True,Carrier,,,,,
January,Wednesday,1155,,1310,WN,,,SMF,389,True,Carrier,,,,,
January,Wednesday,1035,,1330,WN,,,MCO,861,True,Carrier,,,,,
January,Wednesday,1255,,1410,WN,,,MDW,668,True,Carrier,,,,,
January,Wednesday,915,,1035,WN,,,PIT,267,True,Carrier,,,,,
January,Wednesday,1205,,1230,WN,,,LAX,370,True,Carrier,,,,,
January,Wednesday,1920,,2340,WN,,,MDW,1444,True,Carrier,,,,,
January,Wednesday,1055,,1205,WN,,,PHL,267,True,Carrier,,,,,
January,Wednesday,1705,,1835,WN,,,OAK,446,True,Carrier,,,,,
January,Wednesday,845,,1015,WN,,,OAK,446,True,Carrier,,,,,
January,Wednesday,2150,,2320,WN,,,SMF,480,True,National Air System,,,,,
January,Wednesday,1000,,1045,WN,,,HOU,192,True,Carrier,,,,,
January,Wednesday,1400,,1450,WN,,,HOU,192,True,Carrier,,,,,
January,Wednesday,1050,,1220,WN,,,LAX,337,True,National Air System,,,,,
January,Wednesday,1430,,1555,WN,,,LAX,337,True,National Air System,,,,,
January,Wednesday,1105,,1205,WN,,,BUR,296,True,Carrier,,,,,
January,Wednesday,725,,835,WN,,,LAX,308,True,Carrier,,,,,
January,Wednesday,755,,905,WN,,,BUR,358,True,Carrier,,,,,
January,Wednesday,1105,,1220,WN,,,ONT,389,True,Carrier,,,,,
January,Wednesday,2055,,2220,WN,,,SAN,480,True,National Air System,,,,,
January,Wednesday,845,,1055,WN,,,BWI,842,True,Carrier,,,,,
January,Wednesday,1925,,2110,WN,,,MDW,997,True,Carrier,,,,,
January,Thursday,1115,,1150,WN,,,LAS,487,True,National Air System,,,,,
January,Thursday,730,,905,WN,,,OAK,889,True,Carrier,,,,,
January,Thursday,1020,,1135,WN,,,OAK,325,True,Carrier,,,,,
January,Thursday,655,,935,WN,,,HOU,1246,True,Carrier,,,,,
January,Thursday,725,,835,WN,,,MDW,611,True,Carrier,,,,,
January,Thursday,1955,,2105,WN,,,MDW,611,True,Carrier,,,,,
January,Thursday,1310,,1425,WN,,,MHT,377,True,Carrier,,,,,
January,Thursday,630,,815,WN,,,SLC,391,True,Carrier,,,,,
January,Thursday,1725,,2115,WN,,,BWI,1246,True,Carrier,,,,,
January,Thursday,1000,,1055,WN,,,DAL,239,True,Carrier,,,,,
January,Thursday,1300,,1355,WN,,,DAL,239,True,Carrier,,,,,
January,Thursday,1550,,1650,WN,,,HRL,276,True,Carrier,,,,,
January,Thursday,1945,,2215,WN,,,MDW,937,True,Carrier,,,,,
January,Thursday,655,,850,WN,,,PHX,1020,True,Carrier,,,,,
January,Thursday,1050,,1620,WN,,,MDW,1521,True,Carrier,,,,,
January,Thursday,1815,,2335,WN,,,MDW,1521,True,Weather,,,,,
January,Thursday,1320,,1530,WN,,,PHX,256,True,Carrier,,,,,
January,Thursday,2040,,2240,WN,,,PHX,256,True,National Air System,,,,,
January,Thursday,1200,,1315,WN,,,OAK,337,True,Carrier,,,,,
January,Thursday,1830,,2045,WN,,,PHX,370,True,Carrier,,,,,
